Unnamed: 0,Rk,Date,Comp,Round,Venue,Scorer,Opponent,Start,xG,PSxG,Body Part,Distance,Minute,Score,Goalkeeper,Assist,GCA1,Type,GCA2,Type.1,Notes,Scorer-p,GCA1-p,GCA2-p
2,3,2023-08-26,La Liga,Matchweek 3,Away,Samu Costa,Granada,N,0.34,0.24,Left Foot,6.0,87,1-3,Raúl Fernández,,Vedat Muriqi,Shot,,,,MF,ST,
3,4,2023-09-16,La Liga,Matchweek 5,Away,Vedat Muriqi,Celta Vigo,Y,0.56,0.97,Right Foot,8.0,85,0-0,Iván Villar,Dani Rodríguez,Dani Rodríguez,Shot,,,,ST,MF,
5,6,2023-09-23,La Liga,Matchweek 6,Away,Abdón Prats,Girona,N,0.17,0.76,Right Foot,9.0,88,1-5,Paulo Gazzaniga,,Abdón Prats,Pass (Live),Pablo Maffeo,Pass (Live),,ST,ST,RB
6,7,2023-09-23,La Liga,Matchweek 6,Away,Abdón Prats,Girona,N,0.32,0.38,Head,6.0,90+5,2-5,Paulo Gazzaniga,Sergi Darder,Sergi Darder,Pass (Dead),Pablo Maffeo,Shot,,ST,MF,RB
7,8,2023-09-26,La Liga,Matchweek 7,Home,Vedat Muriqi,Barcelona,Y,0.24,0.86,Left Foot,9.0,8,0-0,Marc-André ter Stegen,Antonio Sánchez,Antonio Sánchez,Pass (Live),,,,ST,MF,
8,9,2023-09-26,La Liga,Matchweek 7,Home,Abdón Prats,Barcelona,Y,0.12,0.17,Left Foot,16.0,45+3,1-1,Marc-André ter Stegen,Vedat Muriqi,Vedat Muriqi,Pass (Live),Predrag Rajković,Pass (Dead),,ST,ST,GK
9,10,2023-09-30,La Liga,Matchweek 8,Away,Vedat Muriqi,Rayo Vallecano,Y,0.66,0.71,Left Foot,5.0,44,0-1,Stole Dimitrievski,Abdón Prats,Abdón Prats,Pass (Live),Dani Rodríguez,Pass (Dead),,ST,ST,MF
10,11,2023-09-30,La Liga,Matchweek 8,Away,Antonio Sánchez,Rayo Vallecano,Y,0.59,0.61,Right Foot,19.0,59,1-1,Stole Dimitrievski,Sergi Darder,Sergi Darder,Pass (Live),Vedat Muriqi,Pass (Live),,MF,MF,ST
11,12,2023-10-07,La Liga,Matchweek 9,Home,Dani Rodríguez,Valencia,Y*,0.13,0.87,Left Foot,12.0,5,0-0,Giorgi Mamardashvili,Vedat Muriqi,Antonio Sánchez,Pass (Live),Giovanni González,Pass (Live),Volley,MF,MF,RB
12,13,2023-11-01,Copa del Rey,First round,Away,Abdón Prats,Boiro,Y*,,,,,25,0-0,Mario,Cyle Larin,Cyle Larin,,,,,ST,ST,
14,15,2023-11-01,Copa del Rey,First round,Away,Cyle Larin,Boiro,Y,,,,,46,2-0,Mario,Pablo Maffeo,Pablo Maffeo,,,,,ST,RB,
16,17,2023-11-29,La Liga,Matchweek 13,Home,Abdón Prats,Cádiz,Y,0.08,0.28,Head,10.0,45+1,0-1,David Gil,Pablo Maffeo,Pablo Maffeo,Pass (Live),Samu Costa,Pass (Live),,ST,RB,MF
17,18,2023-12-06,Copa del Rey,Second round,Away,Dani Rodríguez,Valle Egüés,Y*,,,,,39,0-0,Izan Lecumberri,Manu Morlanes,Manu Morlanes,,,,,MF,MF,
18,19,2023-12-06,Copa del Rey,Second round,Away,Javier Llabrés,Valle Egüés,Y,,,,,56,1-0,Izan Lecumberri,Antonio Sánchez,Antonio Sánchez,,,,,LW,MF,
19,20,2023-12-06,Copa del Rey,Second round,Away,Javier Llabrés,Valle Egüés,Y,,,,,62,2-0,Izan Lecumberri,Giovanni González,Giovanni González,,,,,LW,RB,
20,21,2023-12-09,La Liga,Matchweek 16,Home,Cyle Larin,Sevilla,Y,0.09,0.24,Left Foot,16.0,11,0-0,Marko Dmitrović,Samu Costa,Dani Rodríguez,Pass (Live),Sergi Darder,Pass (Live),,ST,MF,MF
21,22,2023-12-21,La Liga,Matchweek 18,Home,Matija Nastasić,Osasuna,Y,0.11,0.39,Head,10.0,12,0-1,Sergio Herrera,Dani Rodríguez,Dani Rodríguez,Pass (Dead),Dani Rodríguez,Pass (Live),,CB,MF,MF
22,23,2023-12-21,La Liga,Matchweek 18,Home,Dani Rodríguez,Osasuna,Y,0.1,0.31,Right Foot,19.0,53,1-1,Sergio Herrera,Pablo Maffeo,Pablo Maffeo,Pass (Live),Antonio Raillo,Pass (Live),,MF,RB,CB
23,24,2023-12-21,La Liga,Matchweek 18,Home,Antonio Raillo,Osasuna,Y*,0.07,0.3,Head,13.0,62,2-1,Sergio Herrera,Dani Rodríguez,Dani Rodríguez,Pass (Dead),Pablo Maffeo,Fouled,,CB,MF,RB
25,26,2024-01-07,Copa del Rey,Round of 32,Away,Cyle Larin,Burgos,N,,,,,74,1-0,Loic Badiashile,Abdón Prats,Abdón Prats,,,,,ST,ST,
27,28,2024-01-13,La Liga,Matchweek 20,Home,Cyle Larin,Celta Vigo,Y,0.38,0.56,Right Foot,7.0,43,0-1,Vicente Guaita,Giovanni González,Giovanni González,Pass (Live),Manu Morlanes,Pass (Live),,ST,RB,MF
28,29,2024-01-16,Copa del Rey,Round of 16,Away,Cyle Larin,Tenerife,N,,,,,120,0-0,Tomeu Nadal,Giovanni González,Giovanni González,,,,,ST,RB,
29,30,2024-01-20,La Liga,Matchweek 21,Away,Javier Llabrés,Villarreal,N,0.1,0.24,Right Foot,11.0,90+1,0-1,Filip Jørgensen,Manu Morlanes,Manu Morlanes,Pass (Live),Antonio Raillo,Pass (Live),Volley,LW,MF,CB
30,31,2024-01-24,Copa del Rey,Quarter-finals,Home,Cyle Larin,Girona,Y,,,,,21,0-0,Juan Carlos,Dani Rodríguez,Dani Rodríguez,,,,,ST,MF,
33,34,2024-02-11,La Liga,Matchweek 24,Home,Antonio Sánchez,Rayo Vallecano,Y,0.45,0.73,Right Foot,7.0,48,0-0,Stole Dimitrievski,,Abdón Prats,Pass (Live),Jaume Costa,Pass (Live),Volley,MF,ST,LB
34,35,2024-02-11,La Liga,Matchweek 24,Home,Vedat Muriqi,Rayo Vallecano,Y,0.18,0.48,Head,4.0,90+1,1-1,Stole Dimitrievski,Dani Rodríguez,Dani Rodríguez,Pass (Dead),Nemanja Radonjić,Take-On,,ST,MF,LW
35,36,2024-02-18,La Liga,Matchweek 25,Home,Antonio Sánchez,Real Sociedad,Y,0.04,0.41,Left Foot,21.0,4,0-0,Álex Remiro,Cyle Larin,Martin Valjent,Pass (Dead),Cyle Larin,Pass (Live),,MF,CB,ST
36,37,2024-02-24,La Liga,Matchweek 26,Away,Matija Nastasić,Alavés,Y,0.44,0.97,Right Foot,5.0,88,0-1,Antonio Sivera,,Cyle Larin,Shot,,,Deflected,CB,ST,
37,38,2024-02-27,Copa del Rey,Semi-finals,Away,Giovanni González,Real Sociedad,Y,,,,,50,0-0,Álex Remiro,Jaume Costa,Jaume Costa,,,,,RB,LB,
38,39,2024-03-03,La Liga,Matchweek 27,Home,Copete,Girona,Y,0.31,0.29,Left Foot,11.0,33,0-0,Paulo Gazzaniga,Cyle Larin,Omar Mascarell,Shot,,,,CB,MF,
39,40,2024-03-16,La Liga,Matchweek 29,Home,Antonio Raillo,Granada,Y*,0.04,0.19,Head,12.0,85,0-0,Augusto Batalla,Sergi Darder,Sergi Darder,Pass (Dead),Antonio Raillo,Shot,,CB,MF,CB
40,41,2024-04-06,Copa del Rey,Final,Away,Dani Rodríguez,Athletic Club,Y,,,,,21,0-0,Julen Agirrezabala,Antonio Raillo,Antonio Raillo,,,,,MF,CB,
0,1,2023-08-13,La Liga,Matchweek 1,Away,Rubén García,Celta Vigo,Y,0.15,0.23,Head,8.0,24,0-0,Iván Villar,,Ante Budimir,Shot,,,,LW,ST,
1,2,2023-08-13,La Liga,Matchweek 1,Away,Moi Gómez,Celta Vigo,Y,0.17,0.5,Right Foot,13.0,74,1-0,Iván Villar,,Rubén Peña,Shot,,,Deflected,LW,RB,
2,3,2023-08-24,Conf Lg,Play-off round,Home,Ezequiel Ávila,Club Brugge,Y,,,,,78,0-1,Simon Mignolet,Jon Moncayola,Jon Moncayola,,,,,ST,MF,
3,4,2023-08-27,La Liga,Matchweek 3,Away,Aimar Oroz,Valencia,Y,0.79,0.99,Right Foot,13.0,24,0-0,Giorgi Mamardashvili,,Pablo Ibáñez,Fouled,Pablo Ibáñez,Take-On,,MF,MF,MF
4,5,2023-08-27,La Liga,Matchweek 3,Away,Nacho Vidal,Valencia,N,0.16,0.44,Left Foot,8.0,90+5,1-1,Giorgi Mamardashvili,Ante Budimir,Ante Budimir,Pass (Live),Jon Moncayola,Pass (Dead),Volley,RB,ST,MF
5,6,2023-08-31,Conf Lg,Play-off round,Away,Johan Mojica,Club Brugge,Y,,,,,27,0-0,Simon Mignolet,Jon Moncayola,Jon Moncayola,,,,,LB,MF,
6,7,2023-08-31,Conf Lg,Play-off round,Away,Ante Budimir,Club Brugge,Y,,,,,53,1-0,Simon Mignolet,Rubén Peña,Rubén Peña,,,,,ST,RB,
7,8,2023-09-03,La Liga,Matchweek 4,Home,Ezequiel Ávila,Barcelona,N,0.06,0.25,Left Foot,24.0,76,0-1,Marc-André ter Stegen,Jesús Areso,Jesús Areso,Pass (Live),Jon Moncayola,Pass (Live),,ST,RB,MF
8,9,2023-09-17,La Liga,Matchweek 5,Away,Iker Muñoz,Getafe,Y,0.17,0.52,Right Foot,8.0,45,0-1,David Soria,Aimar Oroz,Ezequiel Ávila,Pass (Dead),,,Volley,MF,ST,
